titulo,autor,genero,calificacion_puntaje,calificacion_comentario
el jefe,Gabriel García Márquez,Realismo mágico,4,me gusta
prueba,Maihara,prueba,1,no me agrada
Crónicas del abismo,Maihara,Realismo mágico,5,Excelente
Recuerdos olvidados,Gabriel García Márquez,Gabriel García Márquez,4,me gusta
La canción del viento,Mario Vargas Llosa,prueba,1,no me agrada
El último ritual,Jorge Luis Borges,prueba,5,Bueno
El jardín de las cenizas,Isabel Allende,Realismo mágico,5,Muy recomendable.
Luces y sombras,Julio Cortázar,Novela,3,Interesante pero algo lento.
Puertas al infinito,Carlos Fuentes,Cuento,5,"Obra maestra, lo amé."
Cartas del pasado,Juan Rulfo,Poesía,3,No cumplió mis expectativas.
La isla prohibida,Pablo Neruda,Ensayo,4,Buena narrativa y personajes.
Caminos cruzados,Laura Esquivel,Teatro,4,Me gustó aunque algo predecible.
El eco de tu voz,Eduardo Galeano,Fantasía,2,Muy aburrido.
El espejo maldito,Ernesto Sabato,Ciencia Ficción,5,Excelente de principio a fin.
Silencio absoluto,Miguel de Cervantes,Terror,3,"Regular, no lo volvería a leer."
Laberintos de cristal,Federico García Lorca,Romance,4,Gran historia y final sólido.
Fragmentos de alma,Camilo José Cela,Drama,3,Pasable.
Memorias distorsionadas,Juan José Saer,Aventura,5,"Cautivante, no pude soltarlo."
Códigos ocultos,Roberto Bolaño,Histórico,1,Pésimo.
Hijos del fuego,Reinaldo Arenas,Biografía,4,Tiene sus momentos.
En busca del origen,José Martí,Autobiografía,2,Flojo desarrollo de personajes.
El umbral del silencio,Alejo Carpentier,Misterio,5,Mi favorito del año.
Reflejos perdidos,Rosario Castellanos,Thriller,3,Bien escrito pero confuso.
Conspiración en la sombra,Joaquim Maria Machado de Assis,Policial,4,Muy atrapante.
La biblioteca de los secretos,Clarice Lispector,Satírico,2,Demasiado denso para mí.
Entre luces rotas,Rubem Fonseca,Didáctico,5,Una joya literaria.
Voces de otros mundos,Jorge Amado,Epistolar,2,No conecté con los personajes.
Código infinito,José Donoso,Mitología,4,Muy entretenido.
Las ruinas del norte,Manuel Puig,Crónica,4,Interesante perspectiva.
Cazadores de recuerdos,Ricardo Piglia,Narrativa,4,Gran desarrollo de trama.
Almas bajo la lluvia,Horacio Quiroga,Literatura infantil,3,Se vuelve lento por momentos.
Susurros de la tierra,Juan Carlos Onetti,Literatura juvenil,5,Lo mejor que he leído.
Bitácora de un viajero,Alfonsina Storni,Distopía,3,Lectura ligera.
Sabores de la infancia,Sor Juana Inés de la Cruz,Utopía,3,No era lo que esperaba.
Poder interior,Domingo Faustino Sarmiento,Realismo,1,Decepcionante.
Educar con amor,Mariano Azuela,Surrealismo,5,Inspirador y profundo.
Dioses de barro,Pedro Lemebel,Humor,3,Le faltó desarrollo.
Votos de silencio,Nicanor Parra,Erótico,3,Aceptable sin destacar.
Verde profundo,Edmundo Paz Soldán,Gótico,4,Buen libro para pasar el rato.
Mentes digitales,Augusto Roa Bastos,Cyberpunk,2,Demasiado básico.
Ojos de artista,Roque Vallejos,Espiritualidad,4,Me gustó bastante.
Universo en viñetas,Josefina Plá,Filosofía,5,Final brillante.
La espada del destino,Elvio Romero,Psicología,2,No lo terminé.
Memorias del olvido,Bartomeu Meliá,Sociología,4,Tiene buen ritmo.
Guía para el caos,Washington Cucurto,Viajes,2,No logró atraparme.
Manual del explorador,Luisa Valenzuela,Cocina,5,Totalmente recomendado.
